[rospy.client][INFO] 2025-03-27 15:25:18,689: init_node, name[/sonar_processor_5940_1743063918673], pid[5940]
[xmlrpc][INFO] 2025-03-27 15:25:18,689: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:25:18,689: Started XML-RPC server [http://localhost:42799/]
[rospy.init][INFO] 2025-03-27 15:25:18,689: ROS Slave URI: [http://localhost:42799/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:25:18,689: _ready: http://localhost:42799/
[rospy.registration][INFO] 2025-03-27 15:25:18,690: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:25:18,690: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:25:18,790: registered with master
[rospy.rosout][INFO] 2025-03-27 15:25:18,790: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:25:18,791: connected to core topic /rosout
[rosout][INFO] 2025-03-27 15:25:28,140: Back Left Min: 0.99, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,243: Back Left Min: 0.99, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,340: Back Left Min: 0.99, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,443: Back Left Min: 1.02, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,540: Back Left Min: 1.02, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,643: Back Left Min: 1.02, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,740: Back Left Min: 1.02, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,843: Back Left Min: 1.02, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,940: Back Left Min: 1.02, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,043: Back Left Min: 1.03, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,140: Back Left Min: 1.03, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,243: Back Left Min: 1.03, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,340: Back Left Min: 0.81, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,443: Back Left Min: 0.81, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,540: Back Left Min: 0.81, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,644: Back Left Min: 0.81, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,740: Back Left Min: 0.81, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,844: Back Left Min: 0.78, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:29,940: Back Left Min: 0.78, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,044: Back Left Min: 0.78, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,141: Back Left Min: 0.78, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,244: Back Left Min: 0.78, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,341: Back Left Min: 0.78, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,444: Back Left Min: 0.79, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,541: Back Left Min: 0.79, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,644: Back Left Min: 0.79, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,741: Back Left Min: 0.86, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,844: Back Left Min: 0.70, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:30,941: Back Left Min: 0.70, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,044: Back Left Min: 0.70, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,141: Back Left Min: 0.63, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,244: Back Left Min: 0.63, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,341: Back Left Min: 0.63, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,444: Back Left Min: 0.56, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,541: Back Left Min: 0.56, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,644: Back Left Min: 0.56, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,741: Back Left Min: 0.55, Back Right Min: 1.08
